C:\Program Files\BOSE\Graham\Simulation Data\2016-09-08\1M.CSV


Created ,9/8/2016,12:08:56 PM
Exported,9/8/2016,12:09:17 PM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.5001,    2.608,   -0.001,
       2,         0.0100,      0.0100,  -0.4998,    2.608,   -0.001,
       3,         0.0200,      0.0200,  -0.5003,    2.608,   -0.001,
       4,         0.0300,      0.0300,  -0.5003,    2.607,    0.000,
       5,         0.0400,      0.0400,  -0.4996,    2.608,   -0.001,
       6,         0.0500,      0.0500,  -0.4998,    2.608,   -0.001,
       7,         0.0600,      0.0600,  -0.5001,    2.608,   -0.001,
       8,         0.0700,      0.0700,  -0.4999,    2.608,   -0.001,
       9,         0.0800,      0.0800,  -0.4998,    2.608,    0.000,
      10,         0.0900,      0.0900,  -0.5001,    2.608,   -0.001,
      11,         0.1000,      0.1000,  -0.5004,    2.607,   -0.001,
      12,         0.1100,      0.1100,  -0.4997,    2.608,   -0.001,
      13,         0.1200,      0.1200,  -0.4999,    2.608,    0.000,
      14,         0.1300,      0.1300,  -0.5003,    2.608,   -0.001,
      15,         0.1400,      0.1400,  -0.4999,    2.608,    0.000,
      16,         0.1500,      0.1500,  -0.5002,    2.608,   -0.001,
      17,         0.1600,      0.1600,  -0.5001,    2.608,   -0.001,
      18,         0.1700,      0.1700,  -0.4999,    2.608,   -0.001,
      19,         0.1800,      0.1800,  -0.4999,    2.608,   -0.001,
      20,         0.1900,      0.1900,  -0.5003,    2.608,   -0.001,
      21,         0.2000,      0.2000,  -0.5001,    2.608,   -0.001,
      22,         0.2100,      0.2100,  -0.4999,    2.608,   -0.001,
      23,         0.2200,      0.2200,  -0.5004,    2.608,   -0.001,
      24,         0.2300,      0.2300,  -0.4997,    2.608,   -0.001,
      25,         0.2400,      0.2400,  -0.4997,    2.608,   -0.001,
      26,         0.2500,      0.2500,  -0.5004,    2.608,    0.000,
      27,         0.2600,      0.2600,  -0.4999,    2.608,   -0.001,
      28,         0.2700,      0.2700,  -0.5003,    2.608,    0.000,
      29,         0.2800,      0.2800,  -0.5001,    2.608,   -0.001,
      30,         0.2900,      0.2900,  -0.5002,    2.608,   -0.001,
      31,         0.3000,      0.3000,  -0.5003,    2.608,   -0.001,
      32,         0.3100,      0.3100,  -0.4997,    2.607,   -0.001,
      33,         0.3200,      0.3200,  -0.5001,    2.607,   -0.001,
      34,         0.3300,      0.3300,  -0.4999,    2.608,   -0.001,
      35,         0.3400,      0.3400,  -0.5001,    2.608,    0.000,
      36,         0.3500,      0.3500,  -0.5002,    2.608,    0.000,
      37,         0.3600,      0.3600,  -0.4997,    2.607,   -0.001,
      38,         0.3700,      0.3700,  -0.4999,    2.608,    0.000,
      39,         0.3800,      0.3800,  -0.5001,    2.608,   -0.001,
      40,         0.3900,      0.3900,  -0.4998,    2.608,   -0.001,
      41,         0.4000,      0.4000,  -0.5002,    2.608,   -0.001,
      42,         0.4100,      0.4100,  -0.4999,    2.608,   -0.001,
      43,         0.4200,      0.4200,  -0.5001,    2.608,   -0.001,
      44,         0.4300,      0.4300,  -0.4997,    2.608,   -0.001,
      45,         0.4400,      0.4400,  -0.4998,    2.608,    0.000,
      46,         0.4500,      0.4500,  -0.4998,    2.608,   -0.001,
      47,         0.4600,      0.4600,  -0.5003,    2.608,   -0.001,
      48,         0.4700,      0.4700,  -0.5003,    2.608,   -0.001,
      49,         0.4800,      0.4800,  -0.4997,    2.608,   -0.001,
      50,         0.4900,      0.4900,  -0.5002,    2.608,   -0.001,
      51,         0.5000,      0.5000,  -0.4998,    2.608,   -0.001,
      52,         0.5100,      0.5100,  -0.5002,    2.608,   -0.001,
      53,         0.5200,      0.5200,  -0.5007,    2.608,   -0.001,
      54,         0.5300,      0.5300,  -0.5015,    2.608,    0.000,
      55,         0.5400,      0.5400,  -0.5040,    2.608,   -0.001,
      56,         0.5500,      0.5500,  -0.5066,    2.607,   -0.001,
      57,         0.5600,      0.5600,  -0.5105,    2.608,   -0.001,
      58,         0.5700,      0.5700,  -0.5157,    2.608,    0.000,
      59,         0.5800,      0.5800,  -0.5216,    2.608,    0.000,
      60,         0.5900,      0.5900,  -0.5284,    2.608,    0.000,
      61,         0.6000,      0.6000,  -0.5357,    2.608,    0.000,
      62,         0.6100,      0.6100,  -0.5447,    2.608,    0.000,
      63,         0.6200,      0.6200,  -0.5538,    2.608,    0.000,
      64,         0.6300,      0.6300,  -0.5637,    2.608,    0.000,
      65,         0.6400,      0.6400,  -0.5750,    2.608,    0.001,
      66,         0.6500,      0.6500,  -0.5864,    2.608,    0.003,
      67,         0.6600,      0.6600,  -0.5985,    2.608,    0.013,
      68,         0.6700,      0.6700,  -0.6113,    2.608,    0.022,
      69,         0.6800,      0.6800,  -0.6251,    2.608,    0.026,
      70,         0.6900,      0.6900,  -0.6390,    2.608,    0.031,
      71,         0.7000,      0.7000,  -0.6534,    2.608,    0.036,
      72,         0.7100,      0.7100,  -0.6682,    2.608,    0.039,
      73,         0.7200,      0.7200,  -0.6830,    2.608,    0.043,
      74,         0.7300,      0.7300,  -0.6985,    2.608,    0.050,
      75,         0.7400,      0.7400,  -0.7143,    2.608,    0.054,
      76,         0.7500,      0.7500,  -0.7297,    2.608,    0.057,
      77,         0.7600,      0.7600,  -0.7457,    2.607,    0.060,
      78,         0.7700,      0.7700,  -0.7611,    2.607,    0.064,
      79,         0.7800,      0.7800,  -0.7769,    2.608,    0.068,
      80,         0.7900,      0.7900,  -0.7926,    2.610,    0.071,
      81,         0.8000,      0.8000,  -0.8081,    2.608,    0.075,
      82,         0.8100,      0.8100,  -0.8232,    2.608,    0.078,
      83,         0.8200,      0.8200,  -0.8380,    2.608,    0.081,
      84,         0.8300,      0.8300,  -0.8528,    2.608,    0.082,
      85,         0.8400,      0.8400,  -0.8667,    2.608,    0.083,
      86,         0.8500,      0.8500,  -0.8802,    2.607,    0.084,
      87,         0.8600,      0.8600,  -0.8932,    2.608,    0.085,
      88,         0.8700,      0.8700,  -0.9058,    2.608,    0.087,
      89,         0.8800,      0.8800,  -0.9177,    2.608,    0.087,
      90,         0.8900,      0.8900,  -0.9292,    2.608,    0.087,
      91,         0.9000,      0.9000,  -0.9397,    2.608,    0.087,
      92,         0.9100,      0.9100,  -0.9494,    2.608,    0.086,
      93,         0.9200,      0.9200,  -0.9586,    2.607,    0.084,
      94,         0.9300,      0.9300,  -0.9666,    2.607,    0.083,
      95,         0.9400,      0.9400,  -0.9736,    2.607,    0.081,
      96,         0.9500,      0.9500,  -0.9802,    2.608,    0.079,
      97,         0.9600,      0.9600,  -0.9858,    2.608,    0.076,
      98,         0.9700,      0.9700,  -0.9903,    2.608,    0.072,
      99,         0.9800,      0.9800,  -0.9938,    2.608,    0.069,
     100,         0.9900,      0.9900,  -0.9964,    2.608,    0.064,
       1,         1.0000,      0.0000,  -0.9984,    2.608,    0.060,
       2,         1.0100,      0.0100,  -0.9993,    2.608,    0.056,
       3,         1.0200,      0.0200,  -0.9989,    2.607,    0.051,
       4,         1.0300,      0.0300,  -0.9980,    2.608,    0.045,
       5,         1.0400,      0.0400,  -0.9960,    2.607,    0.041,
       6,         1.0500,      0.0500,  -0.9931,    2.608,    0.036,
       7,         1.0600,      0.0600,  -0.9891,    2.607,    0.032,
       8,         1.0700,      0.0700,  -0.9841,    2.608,    0.029,
       9,         1.0800,      0.0800,  -0.9787,    2.608,    0.024,
      10,         1.0900,      0.0900,  -0.9717,    2.608,    0.016,
      11,         1.1000,      0.1000,  -0.9642,    2.608,    0.008,
      12,         1.1100,      0.1100,  -0.9559,    2.608,   -0.002,
      13,         1.1200,      0.1200,  -0.9463,    2.608,   -0.011,
      14,         1.1300,      0.1300,  -0.9362,    2.608,   -0.020,
      15,         1.1400,      0.1400,  -0.9252,    2.608,   -0.028,
      16,         1.1500,      0.1500,  -0.9132,    2.608,   -0.036,
      17,         1.1600,      0.1600,  -0.9014,    2.607,   -0.044,
      18,         1.1700,      0.1700,  -0.8884,    2.608,   -0.052,
      19,         1.1800,      0.1800,  -0.8753,    2.608,   -0.060,
      20,         1.1900,      0.1900,  -0.8611,    2.608,   -0.068,
      21,         1.2000,      0.2000,  -0.8467,    2.608,   -0.073,
      22,         1.2100,      0.2100,  -0.8322,    2.608,   -0.079,
      23,         1.2200,      0.2200,  -0.8168,    2.607,   -0.084,
      24,         1.2300,      0.2300,  -0.8016,    2.607,   -0.089,
      25,         1.2400,      0.2400,  -0.7857,    2.608,   -0.093,
      26,         1.2500,      0.2500,  -0.7704,    2.608,   -0.096,
      27,         1.2600,      0.2600,  -0.7548,    2.608,   -0.099,
      28,         1.2700,      0.2700,  -0.7386,    2.608,   -0.101,
      29,         1.2800,      0.2800,  -0.7232,    2.608,   -0.102,
      30,         1.2900,      0.2900,  -0.7072,    2.608,   -0.103,
      31,         1.3000,      0.3000,  -0.6924,    2.608,   -0.103,
      32,         1.3100,      0.3100,  -0.6770,    2.606,   -0.103,
      33,         1.3200,      0.3200,  -0.6619,    2.608,   -0.101,
      34,         1.3300,      0.3300,  -0.6475,    2.608,   -0.099,
      35,         1.3400,      0.3400,  -0.6333,    2.608,   -0.098,
      36,         1.3500,      0.3500,  -0.6198,    2.607,   -0.094,
      37,         1.3600,      0.3600,  -0.6067,    2.608,   -0.091,
      38,         1.3700,      0.3700,  -0.5944,    2.608,   -0.088,
      39,         1.3800,      0.3800,  -0.5823,    2.608,   -0.084,
      40,         1.3900,      0.3900,  -0.5707,    2.607,   -0.079,
