C:\Program Files\BOSE\Graham\Load Test\16-07-27\11430000.CSV


Created ,7/27/2016,3:07:24 PM
Exported,7/27/2016,3:07:44 PM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.2211,   -1.396,   -0.002,
       2,         0.0100,      0.0100,  -0.2214,   -1.396,   -0.002,
       3,         0.0200,      0.0200,  -0.2216,   -1.396,   -0.002,
       4,         0.0300,      0.0300,  -0.2225,   -1.396,   -0.002,
       5,         0.0400,      0.0400,  -0.2231,   -1.396,   -0.002,
       6,         0.0500,      0.0500,  -0.2251,   -1.396,   -0.002,
       7,         0.0600,      0.0600,  -0.2271,   -1.396,   -0.002,
       8,         0.0700,      0.0700,  -0.2299,   -1.396,   -0.002,
       9,         0.0800,      0.0800,  -0.2337,   -1.396,   -0.002,
      10,         0.0900,      0.0900,  -0.2367,   -1.396,   -0.002,
      11,         0.1000,      0.1000,  -0.2416,   -1.396,   -0.002,
      12,         0.1100,      0.1100,  -0.2464,   -1.398,   -0.002,
      13,         0.1200,      0.1200,  -0.2512,   -1.396,   -0.002,
      14,         0.1300,      0.1300,  -0.2569,   -1.396,   -0.002,
      15,         0.1400,      0.1400,  -0.2630,   -1.396,   -0.002,
      16,         0.1500,      0.1500,  -0.2696,   -1.396,   -0.001,
      17,         0.1600,      0.1600,  -0.2765,   -1.396,    0.001,
      18,         0.1700,      0.1700,  -0.2835,   -1.396,    0.002,
      19,         0.1800,      0.1800,  -0.2911,   -1.398,    0.008,
      20,         0.1900,      0.1900,  -0.2987,   -1.396,    0.016,
      21,         0.2000,      0.2000,  -0.3071,   -1.396,    0.018,
      22,         0.2100,      0.2100,  -0.3150,   -1.395,    0.023,
      23,         0.2200,      0.2200,  -0.3235,   -1.396,    0.027,
      24,         0.2300,      0.2300,  -0.3322,   -1.396,    0.029,
      25,         0.2400,      0.2400,  -0.3405,   -1.396,    0.032,
      26,         0.2500,      0.2500,  -0.3495,   -1.396,    0.034,
      27,         0.2600,      0.2600,  -0.3581,   -1.396,    0.037,
      28,         0.2700,      0.2700,  -0.3668,   -1.396,    0.040,
      29,         0.2800,      0.2800,  -0.3758,   -1.396,    0.042,
      30,         0.2900,      0.2900,  -0.3843,   -1.396,    0.044,
      31,         0.3000,      0.3000,  -0.3931,   -1.398,    0.045,
      32,         0.3100,      0.3100,  -0.4013,   -1.396,    0.046,
      33,         0.3200,      0.3200,  -0.4094,   -1.398,    0.047,
      34,         0.3300,      0.3300,  -0.4180,   -1.398,    0.047,
      35,         0.3400,      0.3400,  -0.4255,   -1.398,    0.048,
      36,         0.3500,      0.3500,  -0.4334,   -1.396,    0.048,
      37,         0.3600,      0.3600,  -0.4406,   -1.396,    0.048,
