C:\Program Files\BOSE\Graham\Load Test\16-07-29\16910000.CSV


Created ,7/29/2016,11:22:56 AM
Exported,7/29/2016,11:23:17 AM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.2162,   -1.411,   -0.001,
       2,         0.0100,      0.0100,  -0.2161,   -1.411,   -0.001,
       3,         0.0200,      0.0200,  -0.2165,   -1.411,   -0.001,
       4,         0.0300,      0.0300,  -0.2174,   -1.411,   -0.001,
       5,         0.0400,      0.0400,  -0.2183,   -1.411,   -0.001,
       6,         0.0500,      0.0500,  -0.2203,   -1.411,   -0.001,
       7,         0.0600,      0.0600,  -0.2222,   -1.411,   -0.001,
       8,         0.0700,      0.0700,  -0.2250,   -1.410,   -0.001,
       9,         0.0800,      0.0800,  -0.2287,   -1.411,   -0.001,
      10,         0.0900,      0.0900,  -0.2322,   -1.411,   -0.001,
      11,         0.1000,      0.1000,  -0.2367,   -1.410,   -0.001,
      12,         0.1100,      0.1100,  -0.2413,   -1.410,   -0.001,
      13,         0.1200,      0.1200,  -0.2466,   -1.411,   -0.001,
      14,         0.1300,      0.1300,  -0.2524,   -1.411,   -0.001,
      15,         0.1400,      0.1400,  -0.2588,   -1.411,   -0.001,
      16,         0.1500,      0.1500,  -0.2656,   -1.411,   -0.001,
      17,         0.1600,      0.1600,  -0.2723,   -1.411,   -0.001,
      18,         0.1700,      0.1700,  -0.2797,   -1.410,   -0.001,
      19,         0.1800,      0.1800,  -0.2871,   -1.410,   -0.001,
      20,         0.1900,      0.1900,  -0.2949,   -1.412,   -0.001,
      21,         0.2000,      0.2000,  -0.3033,   -1.411,   -0.001,
      22,         0.2100,      0.2100,  -0.3114,   -1.409,    0.001,
      23,         0.2200,      0.2200,  -0.3202,   -1.411,    0.004,
      24,         0.2300,      0.2300,  -0.3289,   -1.411,    0.008,
      25,         0.2400,      0.2400,  -0.3378,   -1.411,    0.013,
      26,         0.2500,      0.2500,  -0.3468,   -1.411,    0.018,
      27,         0.2600,      0.2600,  -0.3556,   -1.411,    0.023,
      28,         0.2700,      0.2700,  -0.3648,   -1.411,    0.026,
      29,         0.2800,      0.2800,  -0.3734,   -1.411,    0.029,
      30,         0.2900,      0.2900,  -0.3824,   -1.410,    0.031,
      31,         0.3000,      0.3000,  -0.3909,   -1.411,    0.033,
      32,         0.3100,      0.3100,  -0.3997,   -1.411,    0.034,
      33,         0.3200,      0.3200,  -0.4083,   -1.411,    0.036,
      34,         0.3300,      0.3300,  -0.4164,   -1.411,    0.038,
      35,         0.3400,      0.3400,  -0.4244,   -1.410,    0.039,
      36,         0.3500,      0.3500,  -0.4323,   -1.411,    0.039,
      37,         0.3600,      0.3600,  -0.4392,   -1.411,    0.038,
      38,         0.3700,      0.3700,  -0.4467,   -1.411,    0.038,
      39,         0.3800,      0.3800,  -0.4532,   -1.410,    0.038,
      40,         0.3900,      0.3900,  -0.4598,   -1.411,    0.038,
      41,         0.4000,      0.4000,  -0.4658,   -1.411,    0.037,
      42,         0.4100,      0.4100,  -0.4714,   -1.412,    0.037,
      43,         0.4200,      0.4200,  -0.4767,   -1.411,    0.037,
      44,         0.4300,      0.4300,  -0.4811,   -1.410,    0.036,
      45,         0.4400,      0.4400,  -0.4855,   -1.411,    0.035,
      46,         0.4500,      0.4500,  -0.4890,   -1.411,    0.034,
      47,         0.4600,      0.4600,  -0.4917,   -1.411,    0.033,
      48,         0.4700,      0.4700,  -0.4946,   -1.411,    0.032,
      49,         0.4800,      0.4800,  -0.4962,   -1.411,    0.031,
      50,         0.4900,      0.4900,  -0.4982,   -1.411,    0.030,
      51,         0.5000,      0.5000,  -0.4993,   -1.411,    0.028,
      52,         0.5100,      0.5100,  -0.4997,   -1.412,    0.027,
      53,         0.5200,      0.5200,  -0.5007,   -1.411,    0.026,
      54,         0.5300,      0.5300,  -0.5017,   -1.411,    0.024,
      55,         0.5400,      0.5400,  -0.5042,   -1.411,    0.023,
      56,         0.5500,      0.5500,  -0.5078,   -1.411,    0.022,
      57,         0.5600,      0.5600,  -0.5116,   -1.411,    0.022,
      58,         0.5700,      0.5700,  -0.5171,   -1.411,    0.021,
      59,         0.5800,      0.5800,  -0.5234,   -1.411,    0.021,
      60,         0.5900,      0.5900,  -0.5300,   -1.411,    0.022,
      61,         0.6000,      0.6000,  -0.5378,   -1.411,    0.023,
      62,         0.6100,      0.6100,  -0.5463,   -1.411,    0.024,
      63,         0.6200,      0.6200,  -0.5559,   -1.411,    0.026,
      64,         0.6300,      0.6300,  -0.5662,   -1.411,    0.028,
      65,         0.6400,      0.6400,  -0.5776,   -1.411,    0.029,
      66,         0.6500,      0.6500,  -0.5889,   -1.410,    0.031,
      67,         0.6600,      0.6600,  -0.6011,   -1.411,    0.033,
      68,         0.6700,      0.6700,  -0.6140,   -1.411,    0.035,
      69,         0.6800,      0.6800,  -0.6272,   -1.411,    0.037,
      70,         0.6900,      0.6900,  -0.6413,   -1.411,    0.038,
      71,         0.7000,      0.7000,  -0.6555,   -1.410,    0.041,
      72,         0.7100,      0.7100,  -0.6705,   -1.411,    0.043,
      73,         0.7200,      0.7200,  -0.6855,   -1.410,    0.044,
      74,         0.7300,      0.7300,  -0.7003,   -1.411,    0.046,
      75,         0.7400,      0.7400,  -0.7161,   -1.411,    0.047,
      76,         0.7500,      0.7500,  -0.7315,   -1.411,    0.049,
      77,         0.7600,      0.7600,  -0.7469,   -1.410,    0.051,
      78,         0.7700,      0.7700,  -0.7630,   -1.411,    0.052,
      79,         0.7800,      0.7800,  -0.7783,   -1.411,    0.053,
      80,         0.7900,      0.7900,  -0.7942,   -1.411,    0.054,
      81,         0.8000,      0.8000,  -0.8090,   -1.411,    0.054,
      82,         0.8100,      0.8100,  -0.8242,   -1.411,    0.056,
      83,         0.8200,      0.8200,  -0.8390,   -1.411,    0.056,
      84,         0.8300,      0.8300,  -0.8534,   -1.411,    0.056,
      85,         0.8400,      0.8400,  -0.8676,   -1.411,    0.057,
      86,         0.8500,      0.8500,  -0.8808,   -1.411,    0.056,
      87,         0.8600,      0.8600,  -0.8940,   -1.411,    0.056,
      88,         0.8700,      0.8700,  -0.9066,   -1.411,    0.057,
      89,         0.8800,      0.8800,  -0.9182,   -1.411,    0.057,
      90,         0.8900,      0.8900,  -0.9299,   -1.411,    0.056,
      91,         0.9000,      0.9000,  -0.9400,   -1.411,    0.056,
      92,         0.9100,      0.9100,  -0.9501,   -1.411,    0.056,
      93,         0.9200,      0.9200,  -0.9586,   -1.411,    0.057,
      94,         0.9300,      0.9300,  -0.9669,   -1.411,    0.057,
      95,         0.9400,      0.9400,  -0.9742,   -1.411,    0.056,
      96,         0.9500,      0.9500,  -0.9803,   -1.411,    0.057,
      97,         0.9600,      0.9600,  -0.9864,   -1.412,    0.056,
      98,         0.9700,      0.9700,  -0.9906,   -1.410,    0.055,
      99,         0.9800,      0.9800,  -0.9944,   -1.410,    0.054,
     100,         0.9900,      0.9900,  -0.9972,   -1.411,    0.052,
       1,         1.0000,      0.0000,  -0.9983,   -1.411,    0.051,
       2,         1.0100,      0.0100,  -0.9998,   -1.410,    0.049,
       3,         1.0200,      0.0200,  -0.9989,   -1.411,    0.047,
       4,         1.0300,      0.0300,  -0.9981,   -1.411,    0.045,
       5,         1.0400,      0.0400,  -0.9962,   -1.411,    0.043,
       6,         1.0500,      0.0500,  -0.9933,   -1.411,    0.041,
       7,         1.0600,      0.0600,  -0.9893,   -1.411,    0.039,
       8,         1.0700,      0.0700,  -0.9842,   -1.411,    0.038,
       9,         1.0800,      0.0800,  -0.9787,   -1.411,    0.035,
      10,         1.0900,      0.0900,  -0.9718,   -1.411,    0.034,
      11,         1.1000,      0.1000,  -0.9642,   -1.410,    0.031,
      12,         1.1100,      0.1100,  -0.9559,   -1.411,    0.029,
      13,         1.1200,      0.1200,  -0.9462,   -1.411,    0.027,
      14,         1.1300,      0.1300,  -0.9367,   -1.411,    0.023,
      15,         1.1400,      0.1400,  -0.9252,   -1.411,    0.019,
      16,         1.1500,      0.1500,  -0.9136,   -1.411,    0.016,
      17,         1.1600,      0.1600,  -0.9017,   -1.411,    0.011,
      18,         1.1700,      0.1700,  -0.8882,   -1.411,    0.006,
      19,         1.1800,      0.1800,  -0.8753,   -1.411,    0.000,
