C:\Program Files\BOSE\Graham\Simulation Data\2016-09-08\OC.CSV


Created ,9/8/2016,11:46:24 AM
Exported,9/8/2016,11:46:44 AM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.5004,    2.608,   -0.003,
       2,         0.0100,      0.0100,  -0.5001,    2.608,   -0.003,
       3,         0.0200,      0.0200,  -0.5004,    2.610,   -0.003,
       4,         0.0300,      0.0300,  -0.5001,    2.608,   -0.003,
       5,         0.0400,      0.0400,  -0.5004,    2.608,   -0.004,
       6,         0.0500,      0.0500,  -0.5003,    2.608,   -0.003,
       7,         0.0600,      0.0600,  -0.4998,    2.608,   -0.003,
       8,         0.0700,      0.0700,  -0.5004,    2.608,   -0.004,
       9,         0.0800,      0.0800,  -0.5003,    2.608,   -0.003,
      10,         0.0900,      0.0900,  -0.5003,    2.607,   -0.003,
      11,         0.1000,      0.1000,  -0.5006,    2.608,   -0.003,
      12,         0.1100,      0.1100,  -0.5002,    2.608,   -0.004,
      13,         0.1200,      0.1200,  -0.5006,    2.608,   -0.003,
      14,         0.1300,      0.1300,  -0.4999,    2.607,   -0.003,
      15,         0.1400,      0.1400,  -0.5004,    2.608,   -0.003,
      16,         0.1500,      0.1500,  -0.5004,    2.608,   -0.003,
      17,         0.1600,      0.1600,  -0.4997,    2.608,   -0.003,
      18,         0.1700,      0.1700,  -0.5007,    2.610,   -0.003,
      19,         0.1800,      0.1800,  -0.4997,    2.608,   -0.003,
      20,         0.1900,      0.1900,  -0.5001,    2.608,   -0.003,
      21,         0.2000,      0.2000,  -0.5004,    2.608,   -0.003,
      22,         0.2100,      0.2100,  -0.5001,    2.608,   -0.003,
      23,         0.2200,      0.2200,  -0.5005,    2.608,   -0.003,
      24,         0.2300,      0.2300,  -0.4998,    2.607,   -0.003,
      25,         0.2400,      0.2400,  -0.5004,    2.608,   -0.004,
      26,         0.2500,      0.2500,  -0.5005,    2.607,   -0.003,
      27,         0.2600,      0.2600,  -0.4999,    2.608,   -0.003,
      28,         0.2700,      0.2700,  -0.5004,    2.608,   -0.003,
      29,         0.2800,      0.2800,  -0.4998,    2.608,   -0.003,
      30,         0.2900,      0.2900,  -0.5004,    2.608,   -0.003,
      31,         0.3000,      0.3000,  -0.4998,    2.608,   -0.003,
      32,         0.3100,      0.3100,  -0.5002,    2.608,   -0.003,
      33,         0.3200,      0.3200,  -0.5002,    2.608,   -0.003,
      34,         0.3300,      0.3300,  -0.4996,    2.608,   -0.003,
      35,         0.3400,      0.3400,  -0.5005,    2.608,   -0.003,
      36,         0.3500,      0.3500,  -0.5001,    2.608,   -0.003,
      37,         0.3600,      0.3600,  -0.4998,    2.608,   -0.003,
      38,         0.3700,      0.3700,  -0.5004,    2.607,   -0.003,
      39,         0.3800,      0.3800,  -0.4997,    2.608,   -0.003,
      40,         0.3900,      0.3900,  -0.5004,    2.608,   -0.003,
      41,         0.4000,      0.4000,  -0.4999,    2.608,   -0.003,
      42,         0.4100,      0.4100,  -0.5002,    2.608,   -0.003,
      43,         0.4200,      0.4200,  -0.5002,    2.608,   -0.003,
      44,         0.4300,      0.4300,  -0.5003,    2.608,   -0.003,
      45,         0.4400,      0.4400,  -0.5004,    2.608,   -0.003,
      46,         0.4500,      0.4500,  -0.4999,    2.608,   -0.004,
      47,         0.4600,      0.4600,  -0.5004,    2.608,   -0.003,
      48,         0.4700,      0.4700,  -0.4998,    2.608,   -0.003,
      49,         0.4800,      0.4800,  -0.4997,    2.608,   -0.003,
      50,         0.4900,      0.4900,  -0.5005,    2.607,   -0.003,
      51,         0.5000,      0.5000,  -0.5002,    2.608,   -0.003,
      52,         0.5100,      0.5100,  -0.5002,    2.608,   -0.003,
      53,         0.5200,      0.5200,  -0.5007,    2.608,   -0.003,
      54,         0.5300,      0.5300,  -0.5017,    2.608,   -0.003,
      55,         0.5400,      0.5400,  -0.5042,    2.608,   -0.003,
      56,         0.5500,      0.5500,  -0.5065,    2.608,   -0.003,
      57,         0.5600,      0.5600,  -0.5107,    2.608,   -0.003,
      58,         0.5700,      0.5700,  -0.5153,    2.608,   -0.003,
      59,         0.5800,      0.5800,  -0.5213,    2.608,   -0.002,
      60,         0.5900,      0.5900,  -0.5285,    2.610,   -0.003,
      61,         0.6000,      0.6000,  -0.5356,    2.608,   -0.002,
      62,         0.6100,      0.6100,  -0.5445,    2.608,   -0.002,
      63,         0.6200,      0.6200,  -0.5537,    2.608,   -0.002,
      64,         0.6300,      0.6300,  -0.5642,    2.608,    0.000,
      65,         0.6400,      0.6400,  -0.5751,    2.608,    0.003,
      66,         0.6500,      0.6500,  -0.5866,    2.608,    0.009,
      67,         0.6600,      0.6600,  -0.5991,    2.608,    0.016,
      68,         0.6700,      0.6700,  -0.6116,    2.610,    0.025,
      69,         0.6800,      0.6800,  -0.6252,    2.608,    0.034,
      70,         0.6900,      0.6900,  -0.6388,    2.608,    0.043,
      71,         0.7000,      0.7000,  -0.6532,    2.607,    0.053,
      72,         0.7100,      0.7100,  -0.6684,    2.608,    0.066,
      73,         0.7200,      0.7200,  -0.6833,    2.608,    0.079,
      74,         0.7300,      0.7300,  -0.6986,    2.608,    0.094,
      75,         0.7400,      0.7400,  -0.7141,    2.608,    0.104,
      76,         0.7500,      0.7500,  -0.7295,    2.608,    0.116,
      77,         0.7600,      0.7600,  -0.7456,    2.608,    0.128,
      78,         0.7700,      0.7700,  -0.7611,    2.608,    0.142,
      79,         0.7800,      0.7800,  -0.7771,    2.608,    0.155,
      80,         0.7900,      0.7900,  -0.7923,    2.608,    0.167,
      81,         0.8000,      0.8000,  -0.8078,    2.608,    0.177,
      82,         0.8100,      0.8100,  -0.8232,    2.608,    0.188,
      83,         0.8200,      0.8200,  -0.8380,    2.608,    0.198,
      84,         0.8300,      0.8300,  -0.8525,    2.608,    0.208,
      85,         0.8400,      0.8400,  -0.8666,    2.608,    0.217,
      86,         0.8500,      0.8500,  -0.8802,    2.608,    0.227,
      87,         0.8600,      0.8600,  -0.8933,    2.608,    0.235,
      88,         0.8700,      0.8700,  -0.9057,    2.608,    0.244,
      89,         0.8800,      0.8800,  -0.9177,    2.610,    0.252,
      90,         0.8900,      0.8900,  -0.9287,    2.608,    0.258,
      91,         0.9000,      0.9000,  -0.9395,    2.608,    0.265,
      92,         0.9100,      0.9100,  -0.9492,    2.608,    0.271,
      93,         0.9200,      0.9200,  -0.9581,    2.608,    0.276,
      94,         0.9300,      0.9300,  -0.9666,    2.608,    0.281,
      95,         0.9400,      0.9400,  -0.9734,    2.608,    0.285,
      96,         0.9500,      0.9500,  -0.9804,    2.608,    0.289,
      97,         0.9600,      0.9600,  -0.9860,    2.608,    0.292,
      98,         0.9700,      0.9700,  -0.9903,    2.608,    0.295,
      99,         0.9800,      0.9800,  -0.9943,    2.608,    0.297,
     100,         0.9900,      0.9900,  -0.9964,    2.608,    0.299,
       1,         1.0000,      0.0000,  -0.9986,    2.608,    0.300,
       2,         1.0100,      0.0100,  -0.9993,    2.608,    0.301,
       3,         1.0200,      0.0200,  -0.9988,    2.610,    0.300,
       4,         1.0300,      0.0300,  -0.9980,    2.608,    0.300,
       5,         1.0400,      0.0400,  -0.9960,    2.607,    0.300,
       6,         1.0500,      0.0500,  -0.9933,    2.608,    0.300,
       7,         1.0600,      0.0600,  -0.9893,    2.608,    0.299,
       8,         1.0700,      0.0700,  -0.9844,    2.608,    0.299,
       9,         1.0800,      0.0800,  -0.9787,    2.608,    0.298,
      10,         1.0900,      0.0900,  -0.9716,    2.607,    0.294,
      11,         1.1000,      0.1000,  -0.9644,    2.608,    0.289,
      12,         1.1100,      0.1100,  -0.9558,    2.608,    0.284,
      13,         1.1200,      0.1200,  -0.9465,    2.608,    0.279,
      14,         1.1300,      0.1300,  -0.9365,    2.608,    0.272,
      15,         1.1400,      0.1400,  -0.9249,    2.608,    0.264,
      16,         1.1500,      0.1500,  -0.9140,    2.608,    0.257,
      17,         1.1600,      0.1600,  -0.9015,    2.607,    0.249,
      18,         1.1700,      0.1700,  -0.8882,    2.608,    0.240,
      19,         1.1800,      0.1800,  -0.8752,    2.608,    0.230,
      20,         1.1900,      0.1900,  -0.8608,    2.608,    0.221,
      21,         1.2000,      0.2000,  -0.8470,    2.608,    0.211,
      22,         1.2100,      0.2100,  -0.8322,    2.608,    0.199,
      23,         1.2200,      0.2200,  -0.8171,    2.608,    0.189,
      24,         1.2300,      0.2300,  -0.8015,    2.608,    0.177,
      25,         1.2400,      0.2400,  -0.7862,    2.608,    0.166,
      26,         1.2500,      0.2500,  -0.7704,    2.608,    0.154,
      27,         1.2600,      0.2600,  -0.7546,    2.608,    0.142,
      28,         1.2700,      0.2700,  -0.7392,    2.608,    0.130,
      29,         1.2800,      0.2800,  -0.7230,    2.608,    0.117,
      30,         1.2900,      0.2900,  -0.7076,    2.608,    0.104,
      31,         1.3000,      0.3000,  -0.6924,    2.608,    0.091,
      32,         1.3100,      0.3100,  -0.6764,    2.607,    0.079,
      33,         1.3200,      0.3200,  -0.6622,    2.607,    0.066,
      34,         1.3300,      0.3300,  -0.6475,    2.608,    0.054,
      35,         1.3400,      0.3400,  -0.6333,    2.608,    0.043,
      36,         1.3500,      0.3500,  -0.6203,    2.608,    0.032,
      37,         1.3600,      0.3600,  -0.6064,    2.608,    0.022,
      38,         1.3700,      0.3700,  -0.5945,    2.608,    0.010,
      39,         1.3800,      0.3800,  -0.5821,    2.608,   -0.001,
      40,         1.3900,      0.3900,  -0.5707,    2.608,   -0.010,
      41,         1.4000,      0.4000,  -0.5605,    2.608,   -0.018,
      42,         1.4100,      0.4100,  -0.5505,    2.608,   -0.026,
      43,         1.4200,      0.4200,  -0.5420,    2.608,   -0.033,
      44,         1.4300,      0.4300,  -0.5333,    2.608,   -0.040,
      45,         1.4400,      0.4400,  -0.5261,    2.608,   -0.047,
      46,         1.4500,      0.4500,  -0.5198,    2.607,   -0.053,
      47,         1.4600,      0.4600,  -0.5139,    2.608,   -0.057,
      48,         1.4700,      0.4700,  -0.5100,    2.608,   -0.061,
      49,         1.4800,      0.4800,  -0.5057,    2.608,   -0.064,
