C:\Program Files\BOSE\Graham\Frequency Response\Active\1hz.CSV


Created ,8/3/2017,4:14:11 PM
Exported,8/3/2017,4:14:21 PM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,        0.00000,     0.00000,  -0.9433,    1.446,    0.001,
       2,        0.00100,     0.00100,  -0.9434,    1.446,    0.001,
       3,        0.00200,     0.00200,  -0.9435,    1.446,    0.001,
       4,        0.00300,     0.00300,  -0.9432,    1.445,    0.001,
       5,        0.00400,     0.00400,  -0.9434,    1.446,    0.001,
       6,        0.00500,     0.00500,  -0.9433,    1.446,    0.001,
       7,        0.00600,     0.00600,  -0.9432,    1.446,    0.001,
       8,        0.00700,     0.00700,  -0.9432,    1.446,    0.001,
       9,        0.00800,     0.00800,  -0.9432,    1.446,    0.001,
      10,        0.00900,     0.00900,  -0.9432,    1.446,    0.001,
      11,        0.01000,     0.01000,  -0.9430,    1.446,    0.001,
      12,        0.01100,     0.01100,  -0.9431,    1.446,    0.001,
      13,        0.01200,     0.01200,  -0.9429,    1.446,    0.001,
      14,        0.01300,     0.01300,  -0.9431,    1.445,    0.001,
      15,        0.01400,     0.01400,  -0.9429,    1.446,    0.001,
      16,        0.01500,     0.01500,  -0.9429,    1.446,    0.001,
      17,        0.01600,     0.01600,  -0.9428,    1.448,    0.001,
      18,        0.01700,     0.01700,  -0.9428,    1.446,    0.001,
      19,        0.01800,     0.01800,  -0.9428,    1.446,    0.001,
      20,        0.01900,     0.01900,  -0.9427,    1.446,    0.001,
      21,        0.02000,     0.02000,  -0.9428,    1.446,    0.001,
      22,        0.02100,     0.02100,  -0.9428,    1.446,    0.001,
      23,        0.02200,     0.02200,  -0.9424,    1.446,    0.001,
      24,        0.02300,     0.02300,  -0.9426,    1.446,    0.002,
      25,        0.02400,     0.02400,  -0.9421,    1.446,    0.001,
      26,        0.02500,     0.02500,  -0.9423,    1.446,    0.001,
      27,        0.02600,     0.02600,  -0.9422,    1.446,    0.001,
      28,        0.02700,     0.02700,  -0.9421,    1.446,    0.001,
      29,        0.02800,     0.02800,  -0.9420,    1.446,    0.001,
      30,        0.02900,     0.02900,  -0.9418,    1.446,    0.001,
      31,        0.03000,     0.03000,  -0.9417,    1.446,    0.001,
      32,        0.03100,     0.03100,  -0.9413,    1.445,    0.002,
      33,        0.03200,     0.03200,  -0.9412,    1.446,    0.001,
      34,        0.03300,     0.03300,  -0.9413,    1.446,    0.001,
      35,        0.03400,     0.03400,  -0.9410,    1.446,    0.001,
      36,        0.03500,     0.03500,  -0.9407,    1.446,    0.001,
      37,        0.03600,     0.03600,  -0.9404,    1.446,    0.001,
      38,        0.03700,     0.03700,  -0.9401,    1.446,    0.001,
      39,        0.03800,     0.03800,  -0.9402,    1.446,    0.001,
      40,        0.03900,     0.03900,  -0.9401,    1.445,    0.001,
