C:\Program Files\BOSE\Graham\Frequency Response\2016-09-30\logspace(-1 1.5 24)_100Hz_LowerHalf_Gain.CSV


Created ,9/30/2016,1:47:47 PM
Exported,9/30/2016,1:57:07 PM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.7495,    2.610,   -0.002,
       2,         0.0100,      0.0100,  -0.7433,    2.608,   -0.004,
       3,         0.0200,      0.0200,  -0.7408,    2.610,   -0.007,
       4,         0.0300,      0.0300,  -0.7394,    2.610,   -0.009,
       5,         0.0400,      0.0400,  -0.7384,    2.610,   -0.009,
       6,         0.0500,      0.0500,  -0.7380,    2.610,   -0.011,
       7,         0.0600,      0.0600,  -0.7376,    2.610,   -0.010,
       8,         0.0700,      0.0700,  -0.7376,    2.610,   -0.010,
       9,         0.0800,      0.0800,  -0.7373,    2.610,   -0.010,
      10,         0.0900,      0.0900,  -0.7373,    2.610,   -0.009,
      11,         0.1000,      0.1000,  -0.7376,    2.610,   -0.009,
      12,         0.1100,      0.1100,  -0.7372,    2.610,   -0.008,
      13,         0.1200,      0.1200,  -0.7372,    2.610,   -0.008,
      14,         0.1300,      0.1300,  -0.7374,    2.610,   -0.008,
      15,         0.1400,      0.1400,  -0.7372,    2.610,   -0.007,
      16,         0.1500,      0.1500,  -0.7374,    2.610,   -0.007,
      17,         0.1600,      0.1600,  -0.7373,    2.610,   -0.006,
      18,         0.1700,      0.1700,  -0.7373,    2.610,   -0.006,
      19,         0.1800,      0.1800,  -0.7373,    2.610,   -0.006,
      20,         0.1900,      0.1900,  -0.7373,    2.608,   -0.006,
      21,         0.2000,      0.2000,  -0.7376,    2.610,   -0.005,
      22,         0.2100,      0.2100,  -0.7372,    2.608,   -0.005,
      23,         0.2200,      0.2200,  -0.7374,    2.610,   -0.004,
      24,         0.2300,      0.2300,  -0.7372,    2.610,   -0.004,
      25,         0.2400,      0.2400,  -0.7373,    2.610,   -0.004,
      26,         0.2500,      0.2500,  -0.7376,    2.610,   -0.004,
      27,         0.2600,      0.2600,  -0.7372,    2.610,   -0.003,
      28,         0.2700,      0.2700,  -0.7378,    2.610,   -0.003,
      29,         0.2800,      0.2800,  -0.7373,    2.608,   -0.003,
      30,         0.2900,      0.2900,  -0.7371,    2.610,   -0.003,
