C:\Program Files\BOSE\Graham\Frequency Response\2016-10-06\logspace(-1 1.5 30)_100Hz_First.CSV


Created ,10/6/2016,11:23:14 AM
Exported,10/6/2016,11:33:03 AM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.7500,    2.610,    0.083,
       2,         0.0100,      0.0100,  -0.7573,    2.608,    0.082,
       3,         0.0200,      0.0200,  -0.7595,    2.610,    0.078,
       4,         0.0300,      0.0300,  -0.7608,    2.608,    0.072,
       5,         0.0400,      0.0400,  -0.7611,    2.610,    0.066,
       6,         0.0500,      0.0500,  -0.7618,    2.608,    0.060,
       7,         0.0600,      0.0600,  -0.7615,    2.610,    0.055,
       8,         0.0700,      0.0700,  -0.7617,    2.608,    0.050,
       9,         0.0800,      0.0800,  -0.7622,    2.608,    0.046,
      10,         0.0900,      0.0900,  -0.7618,    2.610,    0.042,
      11,         0.1000,      0.1000,  -0.7624,    2.610,    0.039,
      12,         0.1100,      0.1100,  -0.7614,    2.610,    0.034,
      13,         0.1200,      0.1200,  -0.7620,    2.608,    0.032,
      14,         0.1300,      0.1300,  -0.7618,    2.608,    0.029,
      15,         0.1400,      0.1400,  -0.7618,    2.608,    0.027,
      16,         0.1500,      0.1500,  -0.7620,    2.608,    0.024,
      17,         0.1600,      0.1600,  -0.7622,    2.610,    0.022,
      18,         0.1700,      0.1700,  -0.7618,    2.610,    0.020,
      19,         0.1800,      0.1800,  -0.7618,    2.610,    0.018,
      20,         0.1900,      0.1900,  -0.7615,    2.610,    0.016,
      21,         0.2000,      0.2000,  -0.7617,    2.610,    0.015,
      22,         0.2100,      0.2100,  -0.7618,    2.610,    0.014,
      23,         0.2200,      0.2200,  -0.7620,    2.608,    0.013,
      24,         0.2300,      0.2300,  -0.7615,    2.610,    0.012,
