C:\Program Files\BOSE\Graham\Load Test\16-07-27\5910000.CSV


Created ,7/27/2016,2:47:27 PM
Exported,7/27/2016,2:47:47 PM

Channels
Disp,Load 1,Load 2,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,DirCmd A,UserCalc1,DirCmd O,Axial cmd,Axial err,Out 2 cmd,Out 2 err,

Units
mm,N,g,V,V,V,V,V,V,V,V,mm,%,V,%,

Movers
Axial,Out 2,

   
"Points","Elapsed Time ","Scan Time ","Disp   ","Load 1 ","Ch 4   ",
"      ","Sec          ","Sec       ","mm     ","N      ","V      ",
       1,         0.0000,      0.0000,  -0.2179,   -1.398,   -0.001,
       2,         0.0100,      0.0100,  -0.2179,   -1.396,   -0.001,
       3,         0.0200,      0.0200,  -0.2186,   -1.396,   -0.001,
       4,         0.0300,      0.0300,  -0.2189,   -1.398,   -0.001,
       5,         0.0400,      0.0400,  -0.2200,   -1.398,   -0.001,
       6,         0.0500,      0.0500,  -0.2219,   -1.396,   -0.001,
       7,         0.0600,      0.0600,  -0.2239,   -1.396,   -0.001,
       8,         0.0700,      0.0700,  -0.2267,   -1.396,   -0.001,
       9,         0.0800,      0.0800,  -0.2300,   -1.396,   -0.001,
      10,         0.0900,      0.0900,  -0.2339,   -1.398,   -0.001,
      11,         0.1000,      0.1000,  -0.2379,   -1.396,   -0.001,
      12,         0.1100,      0.1100,  -0.2431,   -1.398,   -0.001,
      13,         0.1200,      0.1200,  -0.2483,   -1.396,   -0.001,
      14,         0.1300,      0.1300,  -0.2542,   -1.396,   -0.001,
      15,         0.1400,      0.1400,  -0.2603,   -1.396,    0.000,
      16,         0.1500,      0.1500,  -0.2668,   -1.396,    0.001,
      17,         0.1600,      0.1600,  -0.2737,   -1.396,    0.002,
      18,         0.1700,      0.1700,  -0.2810,   -1.396,    0.006,
      19,         0.1800,      0.1800,  -0.2886,   -1.396,    0.012,
      20,         0.1900,      0.1900,  -0.2966,   -1.398,    0.014,
      21,         0.2000,      0.2000,  -0.3041,   -1.396,    0.016,
      22,         0.2100,      0.2100,  -0.3128,   -1.396,    0.018,
      23,         0.2200,      0.2200,  -0.3214,   -1.396,    0.020,
      24,         0.2300,      0.2300,  -0.3300,   -1.396,    0.021,
      25,         0.2400,      0.2400,  -0.3391,   -1.396,    0.023,
      26,         0.2500,      0.2500,  -0.3478,   -1.398,    0.023,
      27,         0.2600,      0.2600,  -0.3567,   -1.398,    0.025,
      28,         0.2700,      0.2700,  -0.3656,   -1.398,    0.025,
      29,         0.2800,      0.2800,  -0.3743,   -1.396,    0.027,
      30,         0.2900,      0.2900,  -0.3829,   -1.398,    0.026,
      31,         0.3000,      0.3000,  -0.3916,   -1.396,    0.027,
      32,         0.3100,      0.3100,  -0.4004,   -1.398,    0.028,
      33,         0.3200,      0.3200,  -0.4083,   -1.398,    0.028,
      34,         0.3300,      0.3300,  -0.4168,   -1.396,    0.028,
      35,         0.3400,      0.3400,  -0.4249,   -1.398,    0.028,
      36,         0.3500,      0.3500,  -0.4325,   -1.398,    0.028,
      37,         0.3600,      0.3600,  -0.4398,   -1.398,    0.028,
      38,         0.3700,      0.3700,  -0.4470,   -1.398,    0.028,
      39,         0.3800,      0.3800,  -0.4536,   -1.398,    0.027,
      40,         0.3900,      0.3900,  -0.4601,   -1.396,    0.027,
      41,         0.4000,      0.4000,  -0.4660,   -1.396,    0.026,
      42,         0.4100,      0.4100,  -0.4717,   -1.398,    0.026,
      43,         0.4200,      0.4200,  -0.4766,   -1.398,    0.023,
      44,         0.4300,      0.4300,  -0.4812,   -1.396,    0.022,
      45,         0.4400,      0.4400,  -0.4850,   -1.396,    0.022,
      46,         0.4500,      0.4500,  -0.4889,   -1.396,    0.019,
      47,         0.4600,      0.4600,  -0.4921,   -1.396,    0.018,
      48,         0.4700,      0.4700,  -0.4942,   -1.398,    0.017,
      49,         0.4800,      0.4800,  -0.4967,   -1.396,    0.014,
      50,         0.4900,      0.4900,  -0.4981,   -1.398,    0.013,
      51,         0.5000,      0.5000,  -0.4989,   -1.398,    0.012,
      52,         0.5100,      0.5100,  -0.4997,   -1.396,    0.010,
      53,         0.5200,      0.5200,  -0.5004,   -1.396,    0.008,
      54,         0.5300,      0.5300,  -0.5018,   -1.396,    0.007,
      55,         0.5400,      0.5400,  -0.5044,   -1.396,    0.006,
      56,         0.5500,      0.5500,  -0.5074,   -1.396,    0.006,
      57,         0.5600,      0.5600,  -0.5118,   -1.396,    0.008,
      58,         0.5700,      0.5700,  -0.5171,   -1.398,    0.013,
      59,         0.5800,      0.5800,  -0.5232,   -1.398,    0.015,
      60,         0.5900,      0.5900,  -0.5301,   -1.396,    0.019,
      61,         0.6000,      0.6000,  -0.5378,   -1.396,    0.022,
      62,         0.6100,      0.6100,  -0.5466,   -1.398,    0.025,
      63,         0.6200,      0.6200,  -0.5559,   -1.398,    0.029,
      64,         0.6300,      0.6300,  -0.5661,   -1.398,    0.032,
      65,         0.6400,      0.6400,  -0.5768,   -1.396,    0.036,
      66,         0.6500,      0.6500,  -0.5887,   -1.396,    0.039,
      67,         0.6600,      0.6600,  -0.6012,   -1.396,    0.043,
      68,         0.6700,      0.6700,  -0.6139,   -1.396,    0.046,
      69,         0.6800,      0.6800,  -0.6275,   -1.396,    0.048,
      70,         0.6900,      0.6900,  -0.6411,   -1.396,    0.052,
      71,         0.7000,      0.7000,  -0.6555,   -1.396,    0.054,
      72,         0.7100,      0.7100,  -0.6701,   -1.396,    0.058,
      73,         0.7200,      0.7200,  -0.6852,   -1.398,    0.061,
      74,         0.7300,      0.7300,  -0.7007,   -1.396,    0.064,
      75,         0.7400,      0.7400,  -0.7157,   -1.396,    0.067,
